ID,UUID,Description
51,c20d8187-da40-4b63-8a54-807a543835c5,"jacket with a green colour, made from linen and suitable for summer."
164,4dd97239-44be-4978-87db-a8ccad0efabd,"trousers with a yellow colour, made from silk and suitable for summer."
109,d888aca3-31b2-4731-9be6-6117fe196262,"skirt with a yellow colour, made from wool and suitable for spring."
202,e2f6cd81-dc78-4d08-a938-2cc6e9519f31,"blouse with a white colour, made from cotton and suitable for winter."
244,fca0ea81-8863-4ef8-b8af-db632ac815f5,"blouse with a green colour, made from silk and suitable for summer."
118,6ceb4324-44d4-4fea-95cc-3f8f713c1b99,"skirt with a green colour, made from cotton and suitable for autumn."
97,3104c2bf-b028-475b-a648-5fae09caddc0,"skirt with a yellow colour, made from wool and suitable for summer."
35,7817d09d-5229-42b6-b570-3608f22c5efd,"jacket with a yellow colour, made from linen and suitable for summer."
221,de24309a-8593-4212-b537-f2c37747880b,"blouse with a black colour, made from wool and suitable for spring."
228,b5f95c8b-f8be-40c0-ad8c-05b2eb55ae03,"blouse with a yellow colour, made from silk and suitable for summer."
89,67bc1064-3845-4c63-9469-b87591023cfe,"skirt with a black colour, made from wool and suitable for winter."
223,f829191f-0e66-409c-bd92-f557074cd0de,"blouse with a black colour, made from linen and suitable for spring."
24,594fdb11-c7ec-47f7-b1cc-8a480a759fe8,"jacket with a black colour, made from silk and suitable for autumn."
12,8224046b-5c62-494e-8a90-8c5c72c99340,"jacket with a white colour, made from silk and suitable for winter."
148,ffbc4afe-2444-4460-a413-2cea2f93c813,"trousers with a black colour, made from silk and suitable for summer."
253,62172141-6aef-4ae0-931b-aa22361a66d6,"blouse with a green colour, made from wool and suitable for spring."
166,6f07b05c-1196-48d3-9520-33c124078080,"trousers with a yellow colour, made from cotton and suitable for autumn."
128,95c51554-c876-4537-a8ca-ea7b4ad5f4e9,"skirt with a green colour, made from silk and suitable for spring."
43,d19d7a83-0f0b-4569-9062-325f4dbd60fb,"jacket with a yellow colour, made from linen and suitable for winter."
217,aeb3c82f-7ab1-4745-a7d6-c2f4eb82327e,"blouse with a black colour, made from wool and suitable for winter."
173,023a1b5d-e473-413d-93fe-72acac6172c5,"trousers with a yellow colour, made from wool and suitable for spring."
188,3e4dcd95-4ad1-4998-a929-24d6efee3da8,"trousers with a green colour, made from silk and suitable for winter."
246,fd6c3a07-f8e5-43af-9f4b-4853aafdb726,"blouse with a green colour, made from cotton and suitable for autumn."
134,589100df-83fe-463e-a3b2-6abc459e4e7e,"trousers with a white colour, made from cotton and suitable for autumn."
145,fd7f3655-07c0-4958-98e6-49f57c4900e8,"trousers with a black colour, made from wool and suitable for summer."
249,3b0908f7-d144-4e1c-ad66-52fa1d768034,"blouse with a green colour, made from wool and suitable for winter."
256,248dc450-ace6-4266-b6e1-5a6de301b0df,"blouse with a green colour, made from silk and suitable for spring."
232,fde270dc-5311-498a-8c61-f4b96e5a52f2,"blouse with a yellow colour, made from silk and suitable for autumn."
108,b378b194-b11f-4e79-a032-e21b35f68ca4,"skirt with a yellow colour, made from silk and suitable for winter."
41,16249475-95e9-4fe8-87ef-298ea30f2999,"jacket with a yellow colour, made from wool and suitable for winter."
245,de6e585e-01e1-441e-9dc3-b533aaa72057,"blouse with a green colour, made from wool and suitable for autumn."
105,de75faaf-3385-4950-b40f-95b3bdc8c819,"skirt with a yellow colour, made from wool and suitable for winter."
216,65230b4e-f2fd-4438-846c-3b3ff32b8148,"blouse with a black colour, made from silk and suitable for autumn."
200,8738b42d-09ac-4ca0-9dc8-e91c2c2fdcdd,"blouse with a white colour, made from silk and suitable for autumn."
248,dae1134a-5434-4ad9-8e81-f10231ee71f9,"blouse with a green colour, made from silk and suitable for autumn."
6,d4209efe-5580-4665-ad96-ed90a62a166c,"jacket with a white colour, made from cotton and suitable for autumn."
20,eb36615a-169c-4687-abe3-2eaf3a8cc280,"jacket with a black colour, made from silk and suitable for summer."
247,3241dc78-4c78-4291-9ffb-6fc06ce87bb1,"blouse with a green colour, made from linen and suitable for autumn."
22,171c7b20-11e3-456b-a2d1-e407fb178e71,"jacket with a black colour, made from cotton and suitable for autumn."
125,c1e5b585-11aa-412e-8d1f-5e7cf9a3fad3,"skirt with a green colour, made from wool and suitable for spring."
220,b1af4c1c-12b7-4c64-b77a-d2ff2b20cfb4,"blouse with a black colour, made from silk and suitable for winter."
113,5a5efabc-178c-4741-9a6f-647f96f7e2de,"skirt with a green colour, made from wool and suitable for summer."
84,d5731b70-46a6-40cb-bdf0-0c1d0c08b7c0,"skirt with a black colour, made from silk and suitable for summer."
56,665d2225-a77f-480d-830a-043ec5fe6a44,"jacket with a green colour, made from silk and suitable for autumn."
252,b581cc10-bbc0-4902-81b7-eae36eeab29c,"blouse with a green colour, made from silk and suitable for winter."
187,3abe5a76-5ef0-4619-88f9-6765e6f517e7,"trousers with a green colour, made from linen and suitable for winter."
208,e7c02d16-d33a-4983-8302-c4615627ef32,"blouse with a white colour, made from silk and suitable for spring."
72,b99ed4b6-5f90-4cf9-9871-5cae7701cc33,"skirt with a white colour, made from silk and suitable for autumn."
91,488cf89e-5482-4364-ab5a-6debe6530ea6,"skirt with a black colour, made from linen and suitable for winter."
111,23ec3f11-71de-4e66-b3e6-48d1088cfa42,"skirt with a yellow colour, made from linen and suitable for spring."
112,7075c501-85ef-410c-bc27-dd7434ddd69e,"skirt with a yellow colour, made from silk and suitable for spring."
211,0c8258c6-db84-4480-8180-2612f6e9484b,"blouse with a black colour, made from linen and suitable for summer."
5,50eba631-c287-446b-865d-13d26b0768ca,"jacket with a white colour, made from wool and suitable for autumn."
80,7738d1b2-780d-44bf-9a1d-a415df691c7d,"skirt with a white colour, made from silk and suitable for spring."
81,92171f40-6ae3-4b2e-ae9a-7491873b25a5,"skirt with a black colour, made from wool and suitable for summer."
234,56569bf2-27c3-4bd3-8862-a8c5f8cc1902,"blouse with a yellow colour, made from cotton and suitable for winter."
44,032b70f0-8fcc-4a1e-8020-ca3a37a65332,"jacket with a yellow colour, made from silk and suitable for winter."
161,172a2f0f-8b66-4f90-b85d-36d10655d2c7,"trousers with a yellow colour, made from wool and suitable for summer."
136,9c2ae92a-074d-484b-bc96-514b90336f29,"trousers with a white colour, made from silk and suitable for autumn."
76,20472b18-058b-4ecf-9bbb-82fad1adb882,"skirt with a white colour, made from silk and suitable for winter."
156,a586d10b-1b5f-44dd-888c-b53104774266,"trousers with a black colour, made from silk and suitable for winter."
192,a0bebe56-6d7a-49ba-bcbf-20cbf927a384,"trousers with a green colour, made from silk and suitable for spring."
168,3a7a0e87-185d-484e-bc39-0f2928ac5cdd,"trousers with a yellow colour, made from silk and suitable for autumn."
238,1126bcd4-f69c-42a7-9313-682a691af919,"blouse with a yellow colour, made from cotton and suitable for spring."
158,ac98c5c8-0b88-4cb8-9a86-2874ec0faa31,"trousers with a black colour, made from cotton and suitable for spring."
98,f84eb06a-fa21-4892-9aaa-6eca0ab92ba6,"skirt with a yellow colour, made from cotton and suitable for summer."
107,62860e49-5628-4b87-946b-f13a4479f959,"skirt with a yellow colour, made from linen and suitable for winter."
189,fb095df5-08f6-4d6a-b737-62428566d390,"trousers with a green colour, made from wool and suitable for spring."
9,658865e8-8534-4029-b2b9-2478fa2f2918,"jacket with a white colour, made from wool and suitable for winter."
181,b9823e9b-71f9-4cb3-8bed-ecfc1bf8f9a0,"trousers with a green colour, made from wool and suitable for autumn."
196,e79d7daf-b9fd-4d40-9c78-a310e336d22a,"blouse with a white colour, made from silk and suitable for summer."
150,cc1c60b4-20eb-4a40-9bb7-a4279806ca50,"trousers with a black colour, made from cotton and suitable for autumn."
25,edc369b2-2b11-41c8-ad0b-b7d8cfa2499a,"jacket with a black colour, made from wool and suitable for winter."
212,503e8366-a83f-4117-9208-97ba0368d7dc,"blouse with a black colour, made from silk and suitable for summer."
73,6f768781-e489-436e-bcec-fd7c1ecaf397,"skirt with a white colour, made from wool and suitable for winter."
1,b3f84dd6-4d4c-4096-bc0e-7d14faa0d28b,"jacket with a white colour, made from wool and suitable for summer."
227,03bca6d2-a7fe-420a-9650-20960a930fcd,"blouse with a yellow colour, made from linen and suitable for summer."
206,aa1812a5-ae44-4d98-82ac-52134a773d26,"blouse with a white colour, made from cotton and suitable for spring."
101,6a1d6dfc-2f5a-45dc-b84f-2e867c54f342,"skirt with a yellow colour, made from wool and suitable for autumn."
236,61ed88d7-8253-49ff-9608-d97951da8681,"blouse with a yellow colour, made from silk and suitable for winter."
19,26fe8ffe-4f4e-4382-b5b9-9e71989a0868,"jacket with a black colour, made from linen and suitable for summer."
75,44a75b1e-ebde-4c1a-adae-a8ee6014c91d,"skirt with a white colour, made from linen and suitable for winter."
171,25e37804-e41f-4b3c-8c48-4ccb5dbfd4cf,"trousers with a yellow colour, made from linen and suitable for winter."
182,716e70b1-9278-44dd-ab42-bba909e56492,"trousers with a green colour, made from cotton and suitable for autumn."
190,2e88714d-0059-448a-9435-3e683c19692b,"trousers with a green colour, made from cotton and suitable for spring."
146,a83324d5-bad5-4971-a813-c93a79f9004f,"trousers with a black colour, made from cotton and suitable for summer."
17,6e11e986-6384-48d7-b187-60d16efb49a3,"jacket with a black colour, made from wool and suitable for summer."
40,5142d04e-4742-452c-8f98-0fa606ba498f,"jacket with a yellow colour, made from silk and suitable for autumn."
65,5ed2506a-169e-4b56-8211-b3e0a06a4039,"skirt with a white colour, made from wool and suitable for summer."
222,0e72b3d1-8923-4cdf-9e31-d08cd1d66da3,"blouse with a black colour, made from cotton and suitable for spring."
213,d978f4f0-5c5e-4087-929a-28ed25e38979,"blouse with a black colour, made from wool and suitable for autumn."
210,b452efd4-9237-4235-aaec-22790f296893,"blouse with a black colour, made from cotton and suitable for summer."
120,f42bd1de-2e8e-4272-91a9-75ae5c6310bb,"skirt with a green colour, made from silk and suitable for autumn."
233,cb92b826-1889-40a6-8c1e-facbf4cb795b,"blouse with a yellow colour, made from wool and suitable for winter."
66,6e58ac21-1839-46a4-b435-a57c3ad6fe77,"skirt with a white colour, made from cotton and suitable for summer."
39,44d3b729-d214-4800-aa95-ef1e90eaa530,"jacket with a yellow colour, made from linen and suitable for autumn."
207,7f71ef1b-e76a-4714-a68b-f50757692cba,"blouse with a white colour, made from linen and suitable for spring."
38,f475ab3d-9bd6-4107-854e-5269c5ddd51b,"jacket with a yellow colour, made from cotton and suitable for autumn."
87,29fca57b-20b2-4d4a-b024-6791dc792e90,"skirt with a black colour, made from linen and suitable for autumn."
68,18e484be-f67d-4cf5-88f0-2fc9581c20ce,"skirt with a white colour, made from silk and suitable for summer."
225,4e4ea42b-64de-4b43-a2e6-e0fbe4a7becb,"blouse with a yellow colour, made from wool and suitable for summer."
23,7a5fcee7-da8a-4866-8e84-c4cb03b7006d,"jacket with a black colour, made from linen and suitable for autumn."
100,d1cd504d-b4ac-4222-a282-2e7202ae9eac,"skirt with a yellow colour, made from silk and suitable for summer."
172,76dd177f-ed2c-45ea-a3e4-26f20350a2bf,"trousers with a yellow colour, made from silk and suitable for winter."
3,49f052c6-fa0f-49b2-8ea2-783e4092cf3f,"jacket with a white colour, made from linen and suitable for summer."
160,46800462-c968-435c-bea1-c7cd7e5ecac1,"trousers with a black colour, made from silk and suitable for spring."
197,b99b20da-1a9d-44ca-8dda-432d4f862cf1,"blouse with a white colour, made from wool and suitable for autumn."
7,d7f8b015-83cd-4d0e-abf8-a52c045c9605,"jacket with a white colour, made from linen and suitable for autumn."
69,cec0ea57-ab61-451a-a1fa-6ea99e9447d6,"skirt with a white colour, made from wool and suitable for autumn."
45,673b5ffa-d3c6-4624-90e8-58200619d0ef,"jacket with a yellow colour, made from wool and suitable for spring."
62,44650805-727e-4bce-92f3-4e2245913fb6,"jacket with a green colour, made from cotton and suitable for spring."
138,b2c6f2e9-c6be-4bf5-a8f8-287f6c5c18d5,"trousers with a white colour, made from cotton and suitable for winter."
49,e76210ea-43a7-4a07-a85e-12fc574aa80a,"jacket with a green colour, made from wool and suitable for summer."
78,f24712d0-5d10-4633-af57-394ed4abb1e7,"skirt with a white colour, made from cotton and suitable for spring."
53,dd97a894-2795-4240-aaba-342f7b39bf1b,"jacket with a green colour, made from wool and suitable for autumn."
16,950911e3-3051-4c28-8d5a-b337f9f2e3aa,"jacket with a white colour, made from silk and suitable for spring."
162,b49b5752-7631-44fb-afcd-05921a3c6189,"trousers with a yellow colour, made from cotton and suitable for summer."
57,2b808ceb-2eed-4373-be30-9c6fc009769c,"jacket with a green colour, made from wool and suitable for winter."
122,14616b85-2d81-4229-b1d3-c955e2b8e93f,"skirt with a green colour, made from cotton and suitable for winter."
255,988268e2-c49c-481c-a6f7-05b11669e4e4,"blouse with a green colour, made from linen and suitable for spring."
237,fbcb681a-ac44-48e5-9b38-3100f933a5af,"blouse with a yellow colour, made from wool and suitable for spring."
174,4c39efc0-bcd5-4dcb-a2e0-a64783de7fbe,"trousers with a yellow colour, made from cotton and suitable for spring."
170,1ad195ed-6123-4a72-bdd6-27dc0fabeddb,"trousers with a yellow colour, made from cotton and suitable for winter."
59,8983c9e9-cf44-4f4b-a9c9-94f3c822a6e6,"jacket with a green colour, made from linen and suitable for winter."
153,dafea8ed-1678-49b9-b5d8-78e8ec795ba0,"trousers with a black colour, made from wool and suitable for winter."
176,d3780f74-ae25-43b9-b84f-c1f0ea23ee49,"trousers with a yellow colour, made from silk and suitable for spring."
130,d04f2767-fabc-4970-b5b8-4e931892e6b0,"trousers with a white colour, made from cotton and suitable for summer."
129,305ffb21-cadf-4702-aeec-cdb4a5597eca,"trousers with a white colour, made from wool and suitable for summer."
185,593f40ef-661d-4e0b-b714-24bfbd85fdf9,"trousers with a green colour, made from wool and suitable for winter."
11,82b4edda-da2c-4b25-b2a5-27554f7f325c,"jacket with a white colour, made from linen and suitable for winter."
90,68d235c9-874c-4853-90b7-a8a4ebdece65,"skirt with a black colour, made from cotton and suitable for winter."
205,42fa846a-20f5-4fca-8129-50a98d3e1614,"blouse with a white colour, made from wool and suitable for spring."
224,33920926-9053-42df-bf8c-b996576dfafe,"blouse with a black colour, made from silk and suitable for spring."
115,cbad082e-977b-4731-974a-8b844269dcac,"skirt with a green colour, made from linen and suitable for summer."
42,b523e6fe-6711-4558-a0d5-9981feb5e5a9,"jacket with a yellow colour, made from cotton and suitable for winter."
30,b7ea0635-0ae6-4674-9eec-1c374ecbe0a9,"jacket with a black colour, made from cotton and suitable for spring."
214,36919160-60dc-4765-95e5-a7aa5f652fb3,"blouse with a black colour, made from cotton and suitable for autumn."
31,e30da619-8e94-4ced-831d-b646bce273fd,"jacket with a black colour, made from linen and suitable for spring."
36,e576ac66-ca5d-480b-a258-264afbe18b18,"jacket with a yellow colour, made from silk and suitable for summer."
183,04e340f5-faf0-4b63-8596-00e9b51422d7,"trousers with a green colour, made from linen and suitable for autumn."
27,24e80775-8bab-42b0-83a0-2e8dd5c093ab,"jacket with a black colour, made from linen and suitable for winter."
151,288f759a-6828-4ecd-81d4-67e81e0d4ea7,"trousers with a black colour, made from linen and suitable for autumn."
132,53db1074-44fc-485c-8e13-cb8c97409beb,"trousers with a white colour, made from silk and suitable for summer."
165,5623becc-f090-4bcd-9168-76cd03ab9fd1,"trousers with a yellow colour, made from wool and suitable for autumn."
204,f4484547-f523-49a1-8d74-9ccc3e2e2728,"blouse with a white colour, made from silk and suitable for winter."
142,65dde87c-50ce-46ae-80fb-4e8d501761fe,"trousers with a white colour, made from cotton and suitable for spring."
157,d50cb2cb-b743-47f2-8998-9ba1d6afa450,"trousers with a black colour, made from wool and suitable for spring."
52,14c57e72-e21a-4bfc-bc75-316a2dffa60d,"jacket with a green colour, made from silk and suitable for summer."
95,1dc4c283-258a-4975-9c5e-af37789b5128,"skirt with a black colour, made from linen and suitable for spring."
135,8ea3b32d-a5ae-4806-8a76-3c23bbcab386,"trousers with a white colour, made from linen and suitable for autumn."
93,2d052a55-7ff0-43db-b0a4-d658f7fc048c,"skirt with a black colour, made from wool and suitable for spring."
154,afee38b4-bd10-4210-a736-22e35ae714bb,"trousers with a black colour, made from cotton and suitable for winter."
29,6bf9999f-2d75-44e0-8c8b-3364901f8a39,"jacket with a black colour, made from wool and suitable for spring."
231,b8d626ac-db7f-4171-953b-59d31740b862,"blouse with a yellow colour, made from linen and suitable for autumn."
191,80075a69-eb61-48a2-95d0-62cac5eaf127,"trousers with a green colour, made from linen and suitable for spring."
104,23596154-6e8d-480e-b66d-29c6372b014e,"skirt with a yellow colour, made from silk and suitable for autumn."
226,2c7ea58f-b748-4bcd-907e-6afd3825b6e5,"blouse with a yellow colour, made from cotton and suitable for summer."
215,df84335c-0d0a-4373-a6c7-1f0768053ead,"blouse with a black colour, made from linen and suitable for autumn."
219,57545219-a640-41db-863f-dd4a9f95a1b0,"blouse with a black colour, made from linen and suitable for winter."
83,fa234531-2b6b-4f88-9d3e-8f637c621b43,"skirt with a black colour, made from linen and suitable for summer."
