id,uuid,description
1,d0cb696b-3566-4921-8364-8c0c212679b5,"Trousers with a green color, made from denim, and suitable for spring."
2,5deec50e-8de0-4886-be2d-33703a582d1b,"Jacket with a gray color, made from wool, and suitable for fall."
3,c47e64ff-d87b-406a-8bc9-a9a1bb08bd2a,"Trousers with a blue color, made from linen, and suitable for spring."
4,3d4782e7-d1be-46c9-aa7a-bc3ef54ce8ef,"Skirt with a beige color, made from nylon, and suitable for spring."
5,49102419-0cfd-4967-9643-23c359b47f02,"Jacket with a navy blue color, made from nylon, and suitable for fall."
6,9a044d10-7759-45a3-b221-a7be629ae56b,"Blouse with a navy blue color, made from silk, and suitable for spring."
7,91d588d9-c880-4055-aa5c-1d1bfef024c8,"Blouse with a white color, made from wool, and suitable for winter."
8,c556d529-2b8e-4260-9500-93bd75ec06e4,"Blouse with a beige color, made from silk, and suitable for spring."
9,73b7444b-3f85-4add-a395-28b0bec94cf8,"Trousers with a gray color, made from denim, and suitable for summer."
10,0014c159-ca93-4818-957f-fcef9d76c787,"Trousers with a black color, made from linen, and suitable for summer."
11,56a8f459-d419-4120-bf6e-d9e6894199fc,"Skirt with a pink color, made from satin, and suitable for winter."
12,b8b64a84-962a-44a5-bea8-7e5b08b7bffb,"Trousers with a black color, made from linen, and suitable for winter."
13,58e47b8e-1f90-40e2-a5ac-e50caa82e857,"Trousers with a navy blue color, made from cotton, and suitable for spring."
14,b27d259b-cfa7-4c7c-ad60-f314578c7a7e,"Jacket with a beige color, made from wool, and suitable for fall."
15,136d0d95-467a-4ab1-8eed-e7938e7b4050,"Jacket with a red color, made from wool, and suitable for fall."
16,e5d8fbf9-29f6-4632-bac4-93a0f6d5b089,"Trousers with a blue color, made from silk, and suitable for spring."
17,51316e9d-d971-4a8b-87e6-f152ad267384,"Jacket with a black color, made from leather, and suitable for fall."
18,c9cdaffe-2a80-4f08-adf1-70e38d985190,"Skirt with a black color, made from satin, and suitable for fall."
19,064a5e48-e411-4f7d-b47f-fe5b3ba54473,"Blouse with a red color, made from silk, and suitable for spring."
20,6d4d0368-460a-4631-94cf-ba6127358009,"Skirt with a blue color, made from nylon, and suitable for summer."
21,6fefddf9-5479-48bb-9f93-49782ad44be9,"Skirt with a black color, made from polyester, and suitable for spring."
22,90bdf305-e59c-41c2-9cb4-6f36e6cfaa92,"Blouse with a pink color, made from wool, and suitable for summer."
23,70b869d2-0eba-49cf-8512-13f608a14161,"Jacket with a green color, made from polyester, and suitable for summer."
24,d551e205-b7c0-4c95-8eef-7c6a3a044eb2,"Blouse with a beige color, made from leather, and suitable for spring."
25,9cbb2d56-990b-4924-964b-21b927be8e62,"Jacket with a black color, made from polyester, and suitable for winter."
26,f87bdab1-bcdb-467e-95c2-5dc6128e1558,"Blouse with a white color, made from leather, and suitable for spring."
27,95fdeb35-788a-4de5-978a-ea17f8029367,"Skirt with a black color, made from cotton, and suitable for spring."
28,f43ec7b7-c8d7-4c08-9e69-93544af884b1,"Jacket with a red color, made from cotton, and suitable for spring."
29,df5b8d68-ae00-40d5-8b24-fc4003cf8430,"Blouse with a black color, made from cotton, and suitable for winter."
30,c299b33f-cf19-4d4d-87aa-274c319105c6,"Jacket with a gray color, made from cotton, and suitable for winter."
31,4ab701bf-8fbe-42e4-870c-4226a8597cc0,"Blouse with a red color, made from cotton, and suitable for spring."
32,dee3c0fc-a264-4d5d-a557-5f666552a7de,"Skirt with a white color, made from nylon, and suitable for spring."
